temp,rain,seed_type,yield
30.8,1217.92,0,86.6308
33.22,136.09,0,17.945
27.16,1203.8,1,96.3544
20.32,471.51,0,92.8786
34.83,836.52,0,82.9141
29.52,1189.22,0,90.4032
29.04,410.17,0,74.3163
34.54,1372.25,1,85.4708
29.16,1449.64,0,86.1051
39.97,1286.22,1,72.936
33.72,786.38,1,93.1951
21.47,213.11,0,35.5178
21.31,485.02,1,97.3789
27.62,936.35,1,99.5638
29.07,947.6,0,96.3623
35.86,260.18,0,29.7265
28.6,1343.33,1,94.6801
26.78,734.9,1,100.0
34.59,537.57,1,91.0194
33.3,624.02,0,86.7446
33.74,763.98,0,85.6589
36.64,230.52,0,25.1493
34.89,621.71,0,82.7706
31.13,921.05,1,99.4288
33.4,675.13,1,93.9993
37.36,1109.48,1,81.5816
32.01,592.3,0,89.9795
23.09,775.07,0,100.0
27.0,878.77,0,100.0
35.25,903.74,1,89.3248
36.9,1464.37,0,66.4549
32.18,1020.96,1,95.5987
20.58,482.58,1,96.9512
38.43,591.43,0,73.9231
37.4,892.85,1,84.0069
21.39,1137.36,0,95.2529
21.84,842.68,1,100.0
28.4,577.25,1,100.0
26.23,554.14,0,100.0
37.67,317.81,0,33.3974
33.48,480.94,1,87.0784
29.71,718.86,1,100.0
24.31,817.28,1,100.0
28.6,496.55,1,99.3954
30.54,531.79,0,93.6533
27.91,939.05,0,99.2189
24.09,1423.45,0,89.5309
35.28,505.23,0,81.792
20.15,1145.82,0,95.0836
22.58,845.62,0,100.0
30.01,1266.7,1,95.5996
21.44,1306.47,0,91.8706
28.72,743.66,0,98.189
37.24,906.06,1,84.3217
34.19,684.77,0,84.5251
28.1,1452.68,0,88.6948
36.03,965.38,1,86.6494
21.76,1282.28,0,92.3544
28.71,660.63,0,98.2162
27.92,534.38,1,100.0
24.43,1190.77,0,94.1847
30.21,259.64,0,39.4481
38.12,589.13,0,74.7039
24.73,305.02,0,51.2555
23.47,314.02,0,53.5044
23.54,1181.99,1,96.6162
29.28,889.23,1,100.0
33.62,1334.87,1,88.2249
37.28,978.1,0,75.2256
28.8,756.49,1,100.0
35.93,927.99,1,87.3477
30.15,534.57,1,100.0
20.75,616.23,1,100.0
21.53,1309.95,0,91.801
32.3,809.89,1,96.7496
31.61,1435.92,0,80.265
28.99,1233.74,0,90.8385
26.43,765.88,0,100.0
39.15,730.73,1,79.6139
39.65,218.06,0,19.4107
20.78,1090.67,1,97.712
30.48,953.73,1,99.3553
27.46,496.05,1,99.3089
35.49,1050.46,0,78.2676
35.78,1006.23,0,78.4141
26.59,881.15,1,100.0
25.68,1113.23,0,95.7355
26.67,915.84,0,99.6833
38.33,534.32,1,81.6627
22.58,1092.37,0,96.1526
26.19,627.35,1,100.0
36.26,1038.16,0,76.5775
32.92,692.77,1,95.1988
20.36,532.41,0,100.0
26.83,1172.62,0,94.5476
24.53,292.59,0,48.7652
25.92,1203.37,0,93.9326
33.24,1326.95,0,78.3645
31.94,315.95,0,45.4692
36.63,1179.54,0,72.842
34.42,161.17,1,30.1379
33.53,432.54,1,79.2792
32.21,1153.35,1,93.9301
24.68,434.84,1,88.5963
38.08,371.62,1,55.5779
29.23,494.48,1,99.0341
30.06,686.13,0,94.8547
36.34,1221.76,0,72.7202
37.46,173.05,1,27.8059
37.48,876.36,0,76.2942
34.23,822.27,0,84.43
25.7,1168.36,1,96.7796
28.99,818.69,1,100.0
21.83,1374.71,1,94.3035
37.69,1402.66,1,77.2366
21.07,802.81,0,100.0
27.72,214.25,0,35.7079
20.56,1403.16,1,93.9621
35.83,292.64,1,51.1614
38.35,761.44,0,74.1302
35.18,756.75,0,82.0579
38.12,126.61,0,12.5617
36.7,868.33,1,85.7518
22.22,503.34,1,100.0
22.44,433.82,1,88.4177
21.26,1271.36,1,95.5436
31.93,123.01,0,17.2748
34.37,507.78,0,84.0728
32.3,436.79,1,84.327
23.75,1035.5,1,98.374
21.35,836.48,0,100.0
27.81,758.19,1,100.0
39.62,455.11,0,47.511
27.14,194.58,0,32.4306
34.66,979.56,1,89.8982
22.67,593.22,1,100.0
36.27,345.12,1,57.5297
39.62,769.94,0,70.959
36.23,188.34,1,32.2704
20.74,382.23,0,70.5568
37.72,541.83,1,83.2105
30.31,1484.77,1,92.9827
25.07,1154.61,0,94.9079
25.72,1306.99,0,91.8601
37.32,564.69,0,76.7101
35.99,711.73,1,87.5329
34.87,1352.49,1,84.9047
26.78,361.54,1,75.7702
27.35,1216.21,1,96.2055
36.02,1117.91,0,75.5843
28.61,1493.14,0,86.6069
30.91,549.7,0,92.7263
26.56,513.9,1,100.0
32.05,696.56,1,97.3689
27.03,159.3,1,34.5144
32.3,708.92,0,89.2574
21.5,992.52,1,98.8898
30.26,1149.86,0,89.3486
39.06,299.89,1,44.039
20.7,194.13,1,42.0608
27.24,1429.25,0,89.4149
32.1,1050.69,1,95.437
27.44,1168.32,0,94.6336
30.59,657.25,1,100.0
24.99,258.83,0,43.138
29.98,641.78,0,95.0478
25.24,464.41,1,93.771
24.29,956.63,1,99.3205
24.0,290.02,0,48.3366
29.04,1358.15,1,94.5022
39.95,1234.72,1,73.6203
33.36,1093.36,1,91.7877
37.83,1291.91,0,67.5953
35.87,812.26,0,80.3152
39.7,1208.89,0,64.5655
35.81,136.8,1,23.9399
29.35,1476.22,0,85.1054
32.24,220.7,1,45.4489
27.96,1103.71,1,97.5555
30.51,1176.83,0,88.1786
22.51,543.84,0,100.0
29.0,1052.15,1,98.1742
22.57,1260.68,0,92.7865
35.36,280.65,0,33.0122
36.63,825.34,1,85.9305
23.29,551.73,0,100.0
26.92,1417.27,1,93.7928
36.92,450.85,1,69.76
22.5,523.95,0,100.0
30.05,336.09,0,54.1793
23.42,974.27,1,99.1087
36.85,889.07,0,77.8735
21.62,1427.97,1,93.6644
33.02,1173.74,1,91.6586
32.36,142.4,1,29.1723
32.84,522.93,0,87.9046
36.09,1058.99,1,85.3577
29.07,1064.06,0,94.0416
28.79,777.95,0,98.0197
26.8,301.14,1,65.1988
34.68,1305.09,1,85.929
22.62,618.76,0,100.0
26.38,753.06,1,100.0
28.99,297.23,0,47.5726
25.8,637.81,1,100.0
24.97,1311.43,0,91.7714
36.27,1407.25,1,80.7391
23.8,323.08,1,69.0389
29.98,531.96,0,95.062
21.8,650.54,1,100.0
39.33,401.2,1,55.1389
20.97,493.9,1,98.9323
25.71,111.45,0,18.5747
28.62,1335.44,1,94.7747
35.28,612.31,1,89.3072
21.02,886.54,1,100.0
31.06,202.94,1,43.8579
35.29,491.61,0,69.3615
22.57,235.35,1,50.9934
35.9,574.72,1,87.7551
35.1,378.68,1,65.8532
30.0,163.42,0,25.0568
34.27,1225.55,1,87.9138
22.98,1350.38,0,90.9923
26.56,958.3,0,98.8341
27.86,963.1,1,99.2428
31.87,810.24,1,97.8138
34.17,519.71,0,84.563
27.37,1043.33,1,98.2801
31.67,1215.46,0,84.5058
31.94,471.74,0,78.2957
34.43,916.93,0,83.5913
30.48,1109.66,1,97.4841
22.96,1053.02,0,96.9396
31.45,1080.73,0,87.7569
20.38,539.17,0,100.0
28.26,385.45,1,79.9535
37.46,1130.17,0,71.7557
34.12,826.16,1,92.2112
39.96,769.72,1,77.5939
26.28,342.46,1,72.4297
30.93,1046.22,1,98.2454
32.2,369.17,0,55.9832
25.58,517.9,1,100.0
35.42,1086.86,1,86.699
26.34,588.32,1,100.0
25.76,902.87,1,99.9656
37.92,652.35,1,82.712
39.09,1226.46,1,75.852
20.84,1437.44,0,89.2512
26.93,719.33,1,100.0
34.95,399.58,1,69.414
38.66,1074.64,0,69.856
22.18,1137.25,0,95.2551
24.85,1037.77,0,97.2446
32.76,173.49,1,34.9444
26.61,761.37,0,100.0
20.1,870.49,0,100.0
28.14,1409.04,1,93.8915
29.55,379.24,1,78.8667
26.42,1004.26,0,97.9149
33.05,425.11,0,64.8722
38.26,345.09,0,36.1151
38.68,150.88,1,22.6495
35.76,360.84,1,61.2457
37.53,112.97,0,11.6477
38.57,569.06,1,81.0773
39.78,860.62,1,78.045
37.79,287.88,1,45.4452
25.46,1232.34,1,96.0119
23.25,742.48,1,100.0
34.37,119.72,1,22.4403
35.82,894.89,0,80.4616
23.51,1298.61,1,95.2167
36.54,821.39,0,78.6505
28.02,233.54,0,38.8972
29.55,1410.16,0,85.9242
25.22,429.73,1,87.7027
39.08,522.72,0,72.2983
25.23,603.37,0,100.0
21.24,265.51,1,57.5282
23.19,1060.5,1,98.074
33.81,994.2,1,91.8551
27.35,409.19,0,77.2972
29.56,736.97,1,100.0
28.32,868.93,1,100.0
35.15,1222.79,0,75.6766
35.24,1052.48,0,78.8574
30.51,839.44,1,100.0
21.56,889.84,0,100.0
36.58,1364.04,0,69.2804
31.45,309.79,1,65.5022
37.09,718.58,0,77.2757
34.34,784.36,1,91.6541
36.17,734.81,1,87.0654
29.14,180.83,1,39.1802
33.46,531.44,0,86.3616
27.92,1243.03,0,93.1393
31.57,163.41,1,34.6027
34.01,857.63,0,84.9808
38.69,196.63,1,29.4951
20.63,672.41,0,100.0
35.32,1469.67,1,82.3726
27.49,1347.87,1,94.6256
37.39,1369.47,1,78.3853
21.6,1449.8,0,89.004
33.07,586.88,0,87.3233
39.86,650.28,0,70.3577
34.56,411.77,0,57.4986
35.12,1469.89,1,82.8524
33.47,862.22,1,93.825
36.47,446.52,1,70.8184
23.1,363.87,0,65.9682
20.64,1024.28,0,97.5145
24.81,194.21,0,32.3679
28.93,1040.83,0,94.8613
24.89,161.93,1,35.0851
24.69,404.18,0,76.0442
22.8,1490.88,0,88.1825
36.32,1124.12,1,84.0212
31.55,1181.55,1,95.2476
24.74,1326.76,0,91.4648
28.27,485.22,0,95.2592
32.52,698.08,1,96.2003
20.94,582.18,1,100.0
35.72,546.23,1,88.2098
28.17,519.84,0,99.587
35.09,762.93,0,82.2792
26.01,1090.61,1,97.7127
38.29,887.34,1,81.7629
31.15,287.73,0,41.9208
25.1,562.37,0,100.0
38.44,1285.99,0,66.169
30.71,1261.17,0,85.9948
25.37,1043.14,0,97.1372
37.47,363.43,0,40.9041
29.59,1317.26,1,94.9928
26.06,1372.59,0,90.5482
38.74,1446.91,0,62.2038
34.94,1156.06,0,77.5348
33.91,1085.28,1,90.4954
38.3,872.91,1,81.7437
27.61,847.11,1,100.0
26.17,603.5,1,100.0
29.32,1223.94,1,96.1127
35.23,548.33,0,81.9186
27.41,679.5,0,100.0
34.83,122.71,1,22.5189
25.9,374.67,0,68.6671
27.6,1266.71,1,95.5995
31.01,1420.85,1,93.7177
25.15,1250.23,1,95.7973
29.22,1125.88,1,97.2894
23.39,1108.44,1,97.4987
23.68,1345.11,0,91.0978
30.48,1274.7,0,86.3089
38.9,1035.5,0,70.0306
28.25,1279.56,0,91.7891
21.36,311.44,0,52.8604
30.11,622.48,1,100.0
33.19,122.02,1,24.1272
20.24,841.18,1,100.0
30.71,501.36,1,100.0
36.12,1373.68,0,70.218
38.36,834.14,0,74.0976
23.84,837.04,1,100.0
25.35,655.65,1,100.0
39.19,742.6,0,72.0351
39.8,416.2,0,41.7237
33.07,1301.51,0,79.2831
21.87,630.97,1,100.0
21.12,113.23,0,18.8717
21.65,1283.46,1,95.3985
31.32,1301.14,0,83.6843
37.9,1386.81,0,65.5242
24.23,1315.36,1,95.0156
25.42,1393.82,1,94.0741
37.99,888.91,0,75.0344
23.59,1290.6,0,92.188
39.23,921.85,1,79.1643
38.58,518.99,0,73.5563
31.33,1289.22,1,94.4946
27.68,1135.64,0,95.2871
30.02,1464.05,0,83.6793
21.95,425.0,0,81.2504
26.81,1176.61,1,96.6807
39.38,556.93,1,79.054
35.67,730.77,0,80.8226
27.12,1417.6,1,93.7888
23.71,920.23,1,99.7573
21.71,966.06,0,98.6788
34.26,214.85,0,26.8392
27.6,1197.45,0,94.0511
34.79,543.35,0,83.0172
21.83,1420.14,1,93.7583
27.2,477.67,0,94.4183
21.75,703.37,1,100.0
22.07,225.47,0,37.5777
31.94,1198.21,1,94.0752
20.25,679.33,0,100.0
34.5,883.35,0,83.7578
31.44,337.42,1,70.2908
23.39,476.49,1,95.8851
29.86,188.57,1,40.8577
25.52,519.65,0,100.0
27.22,1421.91,1,93.7371
31.88,373.77,0,57.8303
22.71,109.47,1,23.7194
26.64,968.27,1,99.1808
28.8,702.86,0,97.9889
26.01,944.5,0,99.1101
29.58,348.69,1,73.5211
39.37,508.03,1,79.0637
39.36,1194.76,1,75.5747
27.52,1243.09,1,95.8829
27.3,1404.89,0,89.9021
31.84,863.88,0,90.3886
39.06,746.27,0,72.3498
28.77,507.86,0,98.0773
36.38,1213.92,1,82.7847
33.46,294.85,1,57.5993
24.84,1022.13,1,98.5345
35.78,203.55,1,35.6676
31.64,848.11,1,98.3878
30.87,1207.01,1,96.3159
34.03,1237.22,0,78.174
22.19,447.52,1,90.8166
23.33,957.75,1,99.307
39.34,564.24,1,79.1594
22.12,238.05,0,39.6749
30.21,826.32,0,94.4662
28.92,647.59,0,97.7111
26.9,134.39,0,22.398
25.91,1388.77,0,90.2247
22.32,1416.95,0,89.6611
26.97,580.29,0,100.0
30.42,587.62,0,93.9443
28.76,1075.47,1,97.8944
21.34,162.56,0,27.0927
20.45,580.31,0,100.0
33.54,330.1,0,44.7702
30.32,872.67,1,100.0
31.2,1441.85,0,81.1706
35.96,981.66,0,78.4789
32.81,704.99,0,87.9761
34.75,1336.34,1,85.3945
31.84,644.37,0,90.3898
24.12,1153.26,0,94.9349
31.55,1219.3,0,84.7465
27.32,375.9,0,68.976
25.25,1307.69,1,95.1077
31.94,955.83,0,89.0348
26.96,1283.72,0,92.3255
36.27,1088.38,1,84.5525
38.37,926.24,0,73.5412
26.26,434.0,0,83.5005
23.66,1070.81,1,97.9503
28.36,293.01,1,63.4864
28.46,781.34,0,98.8481
31.1,785.5,0,92.2544
23.74,1278.78,0,92.4244
37.31,1432.58,1,77.8329
22.73,1241.3,1,95.9044
28.18,788.42,1,100.0
29.77,215.74,0,33.405
35.92,408.74,0,52.7404
25.5,852.65,0,100.0
35.61,891.91,1,88.463
30.99,258.5,0,37.9221
25.36,860.35,1,100.0
30.84,1159.5,1,96.886
30.93,1485.69,0,80.9686
34.72,1015.14,0,80.8978
25.95,1499.04,1,92.8115
25.26,1307.08,0,91.8584
28.78,1491.54,0,86.2157
24.2,1132.66,1,97.2081
37.22,954.37,1,83.7952
23.32,294.93,0,49.1548
36.27,1227.62,1,82.8921
30.65,935.6,0,92.6739
26.47,1085.68,1,97.7719
31.45,1433.36,0,80.6961
22.71,1150.13,1,96.9984
38.38,1489.48,0,62.272
34.03,285.77,0,36.1428
34.23,1259.87,1,87.6118
29.79,908.4,1,99.8993
32.56,625.24,0,88.6094
32.67,1332.18,0,79.6751
28.06,1149.72,1,97.0033
29.09,783.26,0,97.2652
37.38,1286.03,0,68.8339
34.62,741.83,1,90.9534
37.0,1213.95,1,81.2273
24.36,701.5,0,100.0
29.89,552.01,1,100.0
26.76,909.11,1,99.8907
35.77,1351.82,0,71.5485
20.92,976.65,1,99.0802
20.33,1401.21,0,89.9759
28.83,100.95,1,21.8717
24.05,1064.03,0,96.7194
37.64,522.61,1,83.3926
21.87,604.61,0,100.0
27.44,1365.32,0,90.6936
21.04,975.85,0,98.4831
28.58,227.68,0,37.0591
20.02,767.53,0,100.0
31.87,827.22,1,97.816
20.19,1073.84,0,96.5233
39.76,691.24,0,70.5923
29.55,420.53,0,75.1504
34.62,243.4,1,45.11
27.35,518.96,1,100.0
35.47,1154.42,0,76.2386
32.83,1047.99,0,84.9614
30.61,111.86,0,16.6975
28.8,1111.4,0,93.7669
38.4,962.51,1,80.7552
37.2,221.36,0,23.318
22.8,272.42,1,59.0244
27.03,701.14,0,100.0
24.96,1002.47,0,97.9506
31.07,940.01,1,99.35
35.58,1066.67,1,86.5515
24.11,949.7,0,99.006
34.96,513.76,0,82.6078
35.68,1211.29,0,74.5841
29.9,257.84,1,55.8656
32.76,199.42,0,26.9058
39.74,1407.49,0,60.506
27.74,1274.56,1,95.5052
27.31,1056.12,1,98.1266
39.09,1178.51,0,66.7071
31.75,119.31,0,16.9045
20.8,184.66,1,40.0089
30.13,980.0,1,99.04
28.47,663.19,0,98.8212
25.55,533.87,0,100.0
39.49,317.53,1,44.9619
27.81,988.01,0,98.2398
26.2,712.48,0,100.0
21.16,220.7,1,47.8179
22.32,957.22,0,98.8557
26.19,1138.37,0,95.2326
22.39,1091.06,0,96.1788
23.28,1434.22,1,93.5893
23.34,277.7,1,60.169
34.66,265.28,0,32.4371
26.7,701.05,0,100.0
25.26,1465.07,0,88.6986
29.92,815.09,0,95.1926
29.99,893.64,1,100.0
23.15,1182.66,0,94.3468
24.57,812.35,0,100.0
37.17,117.2,0,12.3659
29.44,636.17,0,96.4118
23.58,1444.48,0,89.1104
31.06,1379.53,1,94.1024
24.49,447.57,1,90.8245
25.43,209.04,1,45.2924
22.39,1042.66,0,97.1469
23.59,1226.07,0,93.4785
39.08,196.5,1,28.8116
37.32,1182.94,1,80.8031
26.55,874.33,0,100.0
27.38,508.23,1,100.0
34.79,439.62,1,75.8696
31.83,790.7,0,90.4155
34.65,865.18,0,83.3768
23.01,1405.36,0,89.8929
24.66,584.99,0,100.0
39.02,102.05,1,15.0174
36.98,1118.1,0,73.1877
24.1,1476.36,1,93.0837
29.84,183.85,0,28.3862
34.23,230.24,0,28.8057
37.95,827.66,1,82.6356
29.17,1147.06,0,92.1359
30.11,992.1,1,98.8948
21.5,894.95,1,100.0
33.25,282.99,1,55.7993
